hidden_layer_1,hidden_layer_2,learning_rate_init,alpha,activation,accuracy
200,0,0.0017472621625101731,0.04061539207582134,tanh,0.9733333333333333
105,100,0.00042653816713140167,2.5863494434289777e-06,tanh,0.9733333333333333
200,0,0.004331085906165663,0.0160760208456595,tanh,0.9733333333333333
129,0,0.0009449341764590311,0.1,tanh,0.9733333333333333
20,0,0.006835495861497929,0.016459916341740606,tanh,0.9666666666666666
41,73,0.0003871354078119532,2.6259413516898587e-06,tanh,0.9666666666666666
142,0,0.0037598684911868555,2.8248827900485895e-06,relu,0.96
10,100,0.0006763769508498175,0.0006431027316843327,tanh,0.96
151,0,0.0004364443566399851,0.06383549744259888,relu,0.96
10,0,0.0009252465934297365,1.1171969389997464e-06,tanh,0.96
10,0,0.002403842523827522,6.068277098208413e-06,relu,0.96
148,0,0.1,9.053728789048874e-05,tanh,0.96
127,38,0.08568869785189018,0.00021568228019263995,tanh,0.9533333333333334
22,41,0.0006070367046128402,8.122434148262521e-06,tanh,0.9533333333333334
29,46,0.00021618942406574447,5.180051644243016e-06,tanh,0.9533333333333334
10,0,0.023470229252607847,3.8777893106481055e-05,tanh,0.9533333333333334
200,57,0.0011843180561025178,0.1,relu,0.9533333333333334
21,54,0.00031424375034348295,0.1,relu,0.9533333333333334
120,42,0.008066398484801814,1e-06,tanh,0.9466666666666667
200,100,0.0002633667456317579,2.736665459946144e-05,relu,0.9466666666666667
161,18,0.013145103232150136,0.0009643857615941439,relu,0.9466666666666667
56,63,0.1,8.547372759260927e-06,relu,0.9466666666666667
165,100,0.0033778866378439527,0.1,tanh,0.9466666666666667
72,44,0.006594701144658388,1e-06,relu,0.9466666666666667
167,0,0.042488576684659045,0.001133205801878365,relu,0.9400000000000001
50,100,0.0017019694147116916,9.186930748888398e-05,relu,0.9400000000000001
200,47,0.0292222803985004,1e-06,tanh,0.9400000000000001
10,49,0.1,1e-06,tanh,0.9333333333333333
10,100,0.013159623655257073,0.09897080459235198,relu,0.9333333333333333
21,72,0.05678201970293135,1.0090061869151558e-06,tanh,0.9333333333333333
86,5,0.07852755494724264,1.4583329959039015e-05,relu,0.9266666666666667
139,45,1.1299516083106617e-05,0.05140540420871605,tanh,0.9266666666666665
127,61,1.0672476836323728e-05,1.304103694341302e-06,tanh,0.8866666666666667
63,100,0.09918291748791495,0.1,tanh,0.8733333333333334
62,93,1.3744504883832722e-05,3.4130801909741816e-05,tanh,0.8666666666666666
200,56,0.06322081546900027,0.1,tanh,0.8666666666666666
163,0,1e-05,0.0004684494220788642,relu,0.8533333333333333
200,100,0.1,1e-06,tanh,0.8333333333333333
10,40,3.0126997949450482e-05,0.06906068290107939,relu,0.8266666666666668
83,2,8.386394780402563e-05,1.6037155126499187e-05,tanh,0.6333333333333333
